EmployeeID,Age,Gender,Department,JobRole,Location,EducationLevel,HireDate,YearsAtCompany,YearsOfExperience,MonthlySalaryAED,JobSatisfaction,PerformanceRating,Overtime,WorkArrangement,Attrition
EMP0001,22,Female,Marketing,Marketing Executive,Dubai,High School,2026-04-16,0.4,0,6700,2,2,No,On-site,No
EMP0002,53,Female,Sales,Account Manager,Dubai,Master's,2026-02-05,0.6,28,20400,4,4,No,On-site,No
EMP0003,30,Prefer not to say,Finance,Accountant,Sharjah,High School,2018-08-23,8.2,8,10300,2,2,No,Hybrid,No
EMP0004,56,Female,IT,IT Support Specialist,Dubai,High School,2013-06-11,13.4,33,16200,4,4,Yes,On-site,No
EMP0005,50,Male,IT,Software Developer,Sharjah,Diploma,2018-12-26,7.8,24,19100,3,4,No,Hybrid,No
EMP0006,45,Non-binary,Sales,Sales Manager,Abu Dhabi,Bachelor's,2013-03-10,13.7,22,20800,2,3,No,On-site,No
EMP0007,57,Non-binary,Human Resources,HR Officer,Sharjah,Doctorate,2020-01-19,6.8,31,14900,3,5,No,On-site,No
EMP0008,44,Prefer not to say,IT,IT Manager,Sharjah,High School,2023-09-20,3.0,22,27300,2,2,Yes,Hybrid,No
EMP0009,59,Non-binary,IT,IT Manager,Sharjah,Bachelor's,2015-07-12,11.3,35,29900,5,1,No,Hybrid,No
EMP0010,48,Male,Human Resources,HR Analyst,Dubai,Bachelor's,2017-02-09,9.8,26,14000,5,4,No,On-site,No
EMP0011,59,Female,Sales,Sales Executive,Dubai,Master's,2016-05-15,10.5,36,12700,5,5,No,On-site,Yes
EMP0012,29,Male,Human Resources,HR Officer,Sharjah,Bachelor's,2024-02-16,2.6,3,7800,3,5,No,On-site,No
EMP0013,49,Female,IT,Software Developer,Sharjah,High School,2017-03-08,9.7,24,18600,2,3,No,On-site,No
EMP0014,23,Prefer not to say,Sales,Sales Executive,Dubai,Master's,2026-03-22,0.5,0,7900,3,4,Yes,On-site,No
EMP0015,27,Female,IT,Data Analyst,Abu Dhabi,Bachelor's,2022-02-02,4.7,6,16100,3,5,Yes,Hybrid,No
EMP0016,33,Female,Human Resources,HR Officer,Dubai,Doctorate,2015-05-07,11.5,11,9200,3,3,Yes,Remote,No
EMP0017,36,Non-binary,Human Resources,HR Assistant,Abu Dhabi,Bachelor's,2018-01-20,8.8,14,9800,2,3,Yes,On-site,No
EMP0018,30,Male,IT,IT Manager,Dubai,Doctorate,2023-08-01,3.2,8,23000,4,4,No,On-site,No
EMP0019,25,Female,Human Resources,HR Officer,Abu Dhabi,Doctorate,2026-07-01,0.2,0,7600,3,5,No,Hybrid,Yes
EMP0020,37,Female,Operations,Team Leader,Dubai,Master's,2012-07-13,14.3,15,12200,3,3,No,On-site,No
EMP0021,25,Prefer not to say,Operations,Operations Coordinator,Sharjah,Bachelor's,2026-05-07,0.3,0,6400,2,3,Yes,On-site,No
EMP0022,56,Male,Operations,Operations Coordinator,Sharjah,Bachelor's,2012-09-30,14.2,33,11800,3,5,No,On-site,No
EMP0023,53,Non-binary,Sales,Sales Analyst,Dubai,Master's,2021-04-21,5.4,29,14400,2,3,Yes,On-site,No
EMP0024,56,Non-binary,Operations,Operations Manager,Abu Dhabi,High School,2024-05-01,2.4,35,20300,3,4,No,On-site,No
EMP0025,36,Male,Finance,Financial Analyst,Dubai,Master's,2024-06-21,2.2,10,14500,5,3,No,On-site,No
EMP0026,42,Female,Human Resources,HR Officer,Abu Dhabi,Diploma,2017-12-11,8.8,15,12000,5,4,Yes,Hybrid,Yes
EMP0027,43,Non-binary,Sales,Sales Manager,Sharjah,Doctorate,2021-11-08,4.9,20,18200,4,3,Yes,On-site,No
EMP0028,22,Non-binary,IT,Software Developer,Abu Dhabi,Doctorate,2025-12-19,0.8,1,15900,5,3,Yes,On-site,No
EMP0029,45,Male,Operations,Operations Coordinator,Abu Dhabi,Master's,2022-09-03,4.1,20,9100,4,1,No,On-site,No
EMP0030,60,Non-binary,Human Resources,HR Analyst,Sharjah,Diploma,2012-09-06,14.2,37,15400,4,3,No,On-site,No
EMP0031,45,Non-binary,Sales,Sales Manager,Abu Dhabi,Master's,2022-12-21,3.8,19,20300,3,4,Yes,On-site,No
EMP0032,53,Male,IT,Data Analyst,Sharjah,Bachelor's,2023-01-18,3.7,29,18900,3,4,No,On-site,No
EMP0033,30,Prefer not to say,Sales,Account Manager,Abu Dhabi,Master's,2026-03-17,0.5,9,18100,4,4,No,Hybrid,No
EMP0034,21,Female,Sales,Account Manager,Abu Dhabi,Diploma,2026-06-28,0.2,0,16300,2,4,No,On-site,No
EMP0035,49,Non-binary,IT,Software Developer,Sharjah,Master's,2016-01-03,10.8,24,19900,3,2,No,On-site,No
EMP0036,38,Prefer not to say,Marketing,Content Specialist,Sharjah,Diploma,2025-01-06,1.7,14,9500,3,3,No,On-site,No
EMP0037,25,Female,Marketing,Content Specialist,Sharjah,Master's,2025-07-17,1.2,1,8200,3,2,No,On-site,No
EMP0038,43,Non-binary,IT,IT Support Specialist,Abu Dhabi,Master's,2018-06-07,8.3,20,14100,3,4,No,Hybrid,No
EMP0039,42,Prefer not to say,Human Resources,HR Manager,Sharjah,Doctorate,2012-05-11,14.5,16,18000,4,4,No,Remote,No
EMP0040,26,Prefer not to say,Marketing,Marketing Executive,Abu Dhabi,Master's,2026-02-18,0.6,0,7700,2,3,No,On-site,No
EMP0041,51,Male,Finance,Accounts Assistant,Dubai,High School,2015-04-20,11.6,30,13600,2,2,No,On-site,Yes
EMP0042,36,Female,Operations,Operations Analyst,Dubai,Bachelor's,2016-08-22,10.2,14,11200,4,3,No,Hybrid,No
EMP0043,40,Female,Human Resources,HR Assistant,Sharjah,Bachelor's,2012-05-07,14.5,15,9500,3,4,Yes,Hybrid,No
EMP0044,57,Prefer not to say,Marketing,Marketing Executive,Dubai,Master's,2025-10-14,0.9,30,13400,3,3,No,On-site,No
EMP0045,30,Prefer not to say,Finance,Finance Manager,Sharjah,Doctorate,2024-10-07,1.9,6,20000,5,3,No,On-site,No
EMP0046,36,Female,Finance,Accountant,Abu Dhabi,Bachelor's,2016-11-09,10.0,9,11200,5,3,No,Hybrid,No
EMP0047,34,Female,Sales,Sales Manager,Dubai,Master's,2021-03-10,5.6,11,17700,5,4,Yes,On-site,No
EMP0048,51,Prefer not to say,IT,Data Analyst,Sharjah,Doctorate,2016-05-01,10.5,25,17900,2,3,No,On-site,No
